,target
0,7.419
1,8.228
2,8.46023
3,7.8348
4,8.1616
5,8.1709
6,8.139
7,8.475
8,7.824
9,8.346
10,8.108
11,8.505
12,8.1315
13,8.1725
14,8.04
15,8.1448
16,8.0007
17,8.0138
18,8.25
19,8.2833
20,8.635
21,8.4769
22,7.8444
23,8.096
24,8.381
25,8.0294
26,8.31
27,8.4
