,target
0,8.1315
1,8.2833
2,8.0007
3,8.1709
4,8.31
5,7.8348
6,7.824
7,7.419
8,8.4
9,8.04
10,8.139
11,8.228
12,8.1448
13,8.505
14,8.096
15,8.346
16,8.25
17,8.635
18,8.0138
19,8.108
20,8.46023
21,8.475
22,7.8444
23,8.4769
24,8.1725
25,8.381
26,8.1616
27,8.0294
