,target
0,8.0294
1,7.8348
2,8.1315
3,8.108
4,8.635
5,8.04
6,7.8444
7,8.228
8,8.381
9,8.25
10,8.46023
11,8.1616
12,8.1725
13,8.346
14,8.31
15,8.096
16,8.139
17,8.1709
18,8.4
19,8.1448
20,7.824
21,8.475
22,8.0138
23,7.419
24,8.0007
25,8.505
26,8.4769
27,8.2833
