,target
0,8.04
1,8.1616
2,8.1448
3,8.25
4,8.1315
5,8.381
6,7.8348
7,7.8444
8,8.1709
9,8.228
10,8.108
11,8.0007
12,8.635
13,8.505
14,8.096
15,7.824
16,8.0138
17,8.0294
18,8.1725
19,8.4
20,8.346
21,8.2833
22,8.139
23,8.31
24,8.4769
25,8.46023
26,7.419
27,8.475
