,target
0,8.1315
1,8.475
2,8.635
3,8.1725
4,8.4
5,8.505
6,8.31
7,8.381
8,8.228
9,8.096
10,8.0007
11,8.139
12,8.346
13,8.1448
14,8.1709
15,8.0138
16,8.04
17,7.419
18,7.8444
19,8.2833
20,8.1616
21,8.25
22,8.108
23,7.8348
24,7.824
25,8.46023
26,8.4769
27,8.0294
