,target
0,8.108
1,8.1709
2,8.228
3,8.31
4,7.8444
5,8.1315
6,8.4769
7,8.1725
8,8.25
9,8.1616
10,7.8348
11,8.4
12,8.096
13,8.0294
14,8.635
15,7.824
16,7.419
17,8.2833
18,8.475
19,8.346
20,8.139
21,8.04
22,8.0007
23,8.505
24,8.1448
25,8.46023
26,8.0138
27,8.381
