,target
0,8.1315
1,8.346
2,8.04
3,8.1448
4,8.381
5,8.4
6,8.096
7,8.0007
8,8.108
9,8.228
10,8.31
11,8.0294
12,7.419
13,7.8444
14,8.2833
15,7.8348
16,8.635
17,8.4769
18,8.25
19,8.505
20,7.824
21,8.0138
22,8.1616
23,8.1725
24,8.1709
25,8.475
26,8.139
27,8.46023
