,target
0,8.096
1,8.0007
2,8.0294
3,8.635
4,8.1616
5,8.4769
6,8.139
7,8.4
8,8.1315
9,8.2833
10,8.46023
11,8.505
12,8.381
13,8.04
14,7.8444
15,8.31
16,8.0138
17,8.1448
18,8.228
19,7.8348
20,8.475
21,8.25
22,7.419
23,8.1725
24,8.1709
25,8.346
26,7.824
27,8.108
