,target
0,8.635
1,7.8348
2,8.108
3,7.419
4,8.475
5,8.04
6,8.0138
7,8.381
8,8.1448
9,8.4
10,8.4769
11,8.31
12,8.1315
13,8.1616
14,8.228
15,7.8444
16,8.096
17,8.25
18,8.139
19,8.346
20,8.2833
21,7.824
22,8.46023
23,8.1709
24,8.0007
25,8.0294
26,8.1725
27,8.505
