,target
0,8.1725
1,7.8444
2,8.346
3,8.04
4,8.4769
5,8.228
6,8.635
7,8.0007
8,8.31
9,7.824
10,8.0138
11,8.1448
12,8.46023
13,8.25
14,8.381
15,8.4
16,8.475
17,8.2833
18,8.1616
19,8.096
20,8.505
21,8.1709
22,7.8348
23,8.108
24,8.0294
25,8.1315
26,8.139
27,7.419
