,target
0,8.0138
1,8.2833
2,8.0007
3,8.04
4,8.096
5,8.139
6,7.8348
7,7.824
8,8.381
9,8.108
10,8.25
11,8.1448
12,8.1709
13,8.228
14,8.46023
15,8.4769
16,8.346
17,7.8444
18,8.635
19,7.419
20,8.0294
21,8.4
22,8.505
23,8.31
24,8.1616
25,8.1315
26,8.1725
27,8.475
