,target
0,8.25
1,8.139
2,8.108
3,8.635
4,8.1315
5,8.04
6,8.4
7,8.1725
8,8.475
9,8.346
10,8.096
11,7.8444
12,8.505
13,7.419
14,7.824
15,8.228
16,8.0007
17,8.0138
18,8.381
19,8.1709
20,8.0294
21,8.31
22,7.8348
23,8.1616
24,8.2833
25,8.1448
26,8.46023
27,8.4769
