,target
0,8.31
1,8.1725
2,8.505
3,8.25
4,8.0007
5,8.635
6,7.824
7,8.4
8,8.228
9,7.8348
10,8.04
11,8.4769
12,8.1616
13,8.108
14,8.381
15,8.0138
16,8.1315
17,8.475
18,7.419
19,8.1709
20,8.139
21,8.2833
22,8.0294
23,8.346
24,8.46023
25,7.8444
26,8.096
27,8.1448
