,target
0,8.1616
1,8.31
2,8.635
3,8.1725
4,8.4
5,8.505
6,8.475
7,8.1315
8,8.46023
9,8.108
10,8.04
11,8.096
12,8.1709
13,8.346
14,8.2833
15,8.0138
16,8.0007
17,8.0294
18,7.8348
19,8.381
20,7.419
21,7.824
22,8.139
23,7.8444
24,8.228
25,8.25
26,8.4769
27,8.1448
