,target
0,8.346
1,8.0138
2,7.419
3,8.31
4,8.0294
5,8.2833
6,8.381
7,8.4769
8,7.824
9,8.635
10,8.25
11,8.228
12,7.8444
13,8.1709
14,8.04
15,8.46023
16,8.108
17,8.1448
18,8.475
19,8.139
20,8.1315
21,8.096
22,8.505
23,8.1725
24,7.8348
25,8.0007
26,8.4
27,8.1616
