,target
0,7.8348
1,8.4769
2,7.824
3,8.1616
4,8.108
5,8.04
6,8.31
7,8.139
8,7.419
9,8.25
10,8.46023
11,8.1709
12,8.475
13,8.228
14,8.381
15,8.346
16,8.096
17,8.1315
18,8.4
19,8.2833
20,7.8444
21,8.0138
22,8.1725
23,8.0007
24,8.505
25,8.1448
26,8.635
27,8.0294
