,target
0,8.04
1,7.8444
2,8.108
3,8.0138
4,8.46023
5,8.0294
6,8.381
7,8.1725
8,8.1616
9,8.139
10,8.31
11,7.8348
12,8.1315
13,8.4
14,8.0007
15,8.346
16,8.25
17,8.1709
18,7.824
19,8.096
20,8.2833
21,8.505
22,8.475
23,7.419
24,8.4769
25,8.228
26,8.635
27,8.1448
