,target
0,7.8444
1,8.139
2,8.46023
3,8.346
4,8.2833
5,8.4
6,8.0007
7,8.108
8,8.31
9,8.505
10,7.8348
11,8.1448
12,8.228
13,8.1725
14,8.635
15,8.096
16,8.1616
17,8.25
18,7.824
19,8.381
20,8.1315
21,8.0138
22,7.419
23,8.4769
24,8.04
25,8.0294
26,8.1709
27,8.475
